RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"2132490","","芸能山城組","","Geinoh Yamashirogumi","Akira: Original Motion Picture Soundtrack","1988","8","n","","",  ""
"2767962","","蛋堡","","Soft Lipa","Winter Sweet","2009","7","n","","",  ""
"630285","","许巍","","","在路上 (On the Way) [Bonus Track + Sheet Music Booklet]","2006","5","n","","",  ""
"630283","","许巍","","","时光·漫步 (Through the Time)","2002","6","n","","",  ""
"630349","","许巍","","","每一刻都是崭新的 (It's New for Every Moment)","2004","4","n","","",  ""
"3229891","","谢天笑","","Xie Tian Xiao","古筝雷鬼","2009","1","n","","",  ""
"5490105","","超级市场","","","Blackeclipse (墨蚀)","2014","7","n","","",  ""
"398847","","J Dilla","","","The Shining","2006","8","n","","",  ""
"163","","The Smiths","","","The Smiths","1984","6","n","","",  ""
"641","","The Flaming Lips","","","The Soft Bulletin","1999","7","n","","",  ""
"1318397","","久石譲 [Joe Hisaishi]","","","The Sun Also Rises","2007","7","n","","",  ""
"12924","","Jeru the Damaja","","","The Sun Rises in the East","1994","8","n","","",  ""
"3437889","","Machinedrum","","","Sacred Frequency","2011","8","n","","",  ""
"5123169","","マクロスMACROSS 82-99","","","Sailorwave","2013","6","n","","",  ""
"1336","","Metallica","","","S&amp;M","1999","7","n","","",  ""
